BLU,GRE,RED,REDEDGE,NearIR,NDVI,NDRE,SR,GLI,RGI,ExG,meanRGB,RBI,class
0.0754,0.1684,0.0947,0.3341,0.534,0.698743439,0.23027301,5.638859556,0.328861708,0.562351544,0.1667,0.112833333,1.25596817,1
0.0821,0.1784,0.1062,0.3679,0.5419,0.672272797,0.191250824,5.102636535,0.309117593,0.59529148,0.1685,0.122233333,1.293544458,1
0.0745,0.1422,0.0938,0.2879,0.4268,0.639646562,0.194347279,4.55010661,0.256461233,0.659634318,0.1161,0.1035,1.259060403,1
0.0479,0.1084,0.057,0.2386,0.4318,0.766775777,0.288186158,7.575438596,0.347839602,0.525830258,0.1119,0.0711,1.189979123,1
0.081,0.1565,0.1031,0.315,0.4725,0.641765115,0.2,4.582929195,0.259303963,0.658785942,0.1289,0.113533333,1.272839506,1
0.0902,0.1928,0.1069,0.4031,0.6727,0.725756798,0.250604202,6.292797007,0.323494079,0.554460581,0.1885,0.129966667,1.185144124,1
0.0794,0.1822,0.0933,0.3817,0.5839,0.724453633,0.20940348,6.258306538,0.356916775,0.512074643,0.1917,0.1183,1.175062972,1
0.0563,0.1298,0.0661,0.2937,0.5105,0.770724939,0.26958468,7.723146747,0.359162304,0.509244992,0.1372,0.084066667,1.174067496,1
0.0707,0.1905,0.0855,0.4128,0.6955,0.781049936,0.255075341,8.134502924,0.418466121,0.448818898,0.2248,0.115566667,1.209335219,1
0.0888,0.2149,0.0988,0.4552,0.7547,0.768482718,0.247541119,7.638663968,0.392290249,0.45974872,0.2422,0.134166667,1.112612613,1
0.0892,0.2235,0.0987,0.4897,0.7852,0.776671569,0.231782885,7.955420466,0.408095763,0.441610738,0.2591,0.137133333,1.106502242,1
0.1075,0.2017,0.1402,0.4204,0.6317,0.63674051,0.200836422,4.505706134,0.239133774,0.69509172,0.1557,0.1498,1.304186047,1
0.0777,0.1684,0.0951,0.3416,0.5154,0.688452088,0.202800467,5.41955836,0.321821036,0.564726841,0.164,0.113733333,1.223938224,1
0.0796,0.2006,0.0855,0.4569,0.7639,0.798681422,0.251474443,8.934502924,0.416916829,0.426221336,0.2361,0.1219,1.074120603,1
0.0712,0.1291,0.078,0.2699,0.4655,0.712971481,0.265977699,5.967948718,0.267550319,0.604182804,0.109,0.092766667,1.095505618,1
0.0686,0.1441,0.081,0.3107,0.5222,0.731432361,0.253932045,6.44691358,0.316582915,0.562109646,0.1386,0.0979,1.180758017,1
0.0699,0.1517,0.0797,0.322,0.5798,0.758301744,0.285872699,7.274780427,0.339514349,0.525379038,0.1538,0.100433333,1.140200286,1
0.0686,0.1509,0.0795,0.3385,0.6128,0.770330781,0.288342268,7.708176101,0.341631474,0.526838966,0.1537,0.099666667,1.158892128,1
0.0722,0.1588,0.0856,0.3547,0.635,0.762420205,0.283217137,7.418224299,0.336137989,0.539042821,0.1598,0.105533333,1.185595568,1
0.1787,0.1739,0.1965,0.2259,0.3361,0.262110402,0.196085409,1.71043257,-0.037897649,1.129959747,-0.0274,0.183033333,1.099608282,2
0.1608,0.1681,0.1888,0.2341,0.3499,0.299053276,0.198287671,1.853283898,-0.019539224,1.123140988,-0.0134,0.172566667,1.174129353,2
0.0967,0.1016,0.1058,0.1452,0.2218,0.354090354,0.208719346,2.096408318,0.001725413,1.041338583,0.0007,0.101366667,1.094105481,2
0.1393,0.1498,0.1645,0.1965,0.2904,0.276764124,0.192852742,1.765349544,-0.006960557,1.098130841,-0.0042,0.1512,1.180904523,2
0.1421,0.1488,0.1653,0.2018,0.2914,0.276111233,0.181670722,1.762855414,-0.016198347,1.110887097,-0.0098,0.152066667,1.163265306,2
0.1476,0.1606,0.1712,0.2043,0.3015,0.275650518,0.192170819,1.761098131,0.00375,1.066002491,0.0024,0.1598,1.159891599,2
0.1588,0.1865,0.1869,0.2884,0.3914,0.353622687,0.151515152,2.094168004,0.037985251,1.002144772,0.0273,0.1774,1.176952141,2
0.0814,0.0939,0.0958,0.133,0.2119,0.377315567,0.22876196,2.211899791,0.029041096,1.020234292,0.0106,0.090366667,1.176904177,2
0.1191,0.129,0.1346,0.1719,0.262,0.321230459,0.207651533,1.946508172,0.008403361,1.043410853,0.0043,0.127566667,1.130142737,2
0.0857,0.0878,0.1107,0.1465,0.2253,0.341071429,0.211941904,2.035230352,-0.055913978,1.260820046,-0.0208,0.094733333,1.291715286,2
0.133,0.141,0.1602,0.2219,0.3561,0.379430564,0.232179931,2.222846442,-0.019471488,1.136170213,-0.0112,0.144733333,1.204511278,2
0.0817,0.0822,0.0948,0.1249,0.2049,0.367367367,0.242571255,2.161392405,-0.03549428,1.153284672,-0.0121,0.086233333,1.160342717,2
0.1281,0.1372,0.1575,0.1959,0.2894,0.295144328,0.192664331,1.837460317,-0.02,1.147959184,-0.0112,0.140933333,1.229508197,2
0.1521,0.1589,0.1665,0.2142,0.3056,0.294640966,0.17583686,1.835435435,-0.001257071,1.047828823,-0.0008,0.159166667,1.094674556,2
0.1751,0.1959,0.2094,0.2605,0.3674,0.273925104,0.17025004,1.754536772,0.009403581,1.068912711,0.0073,0.193466667,1.195888064,2
0.0478,0.1048,0.0564,0.2351,0.437,0.771382246,0.300401726,7.74822695,0.335882728,0.538167939,0.1054,0.069666667,1.179916318,1
0.0857,0.188,0.109,0.398,0.6407,0.70921702,0.233657456,5.877981651,0.317680042,0.579787234,0.1813,0.127566667,1.271878646,1
0.1054,0.2144,0.127,0.4332,0.691,0.689486553,0.229318627,5.440944882,0.297035693,0.592350746,0.1964,0.148933333,1.204933586,1
0.0541,0.1411,0.0671,0.3167,0.5538,0.783862136,0.2723722,8.253353204,0.399107586,0.475549256,0.161,0.087433333,1.240295749,1
0.0414,0.0902,0.0504,0.1858,0.3336,0.7375,0.284559107,6.619047619,0.325495959,0.558758315,0.0886,0.060666667,1.217391304,1
0.0892,0.1722,0.1019,0.3702,0.5656,0.694681648,0.2088053,5.550539745,0.28627451,0.591753775,0.1533,0.1211,1.142376682,1
0.0999,0.2469,0.1023,0.5161,0.7819,0.768604388,0.204776579,7.643206256,0.418965517,0.414337789,0.2916,0.1497,1.024024024,1
0.0843,0.1941,0.1012,0.4328,0.7381,0.758846658,0.260739602,7.293478261,0.353320551,0.521380732,0.2027,0.126533333,1.200474496,1
0.1005,0.2005,0.1149,0.4376,0.7267,0.726948669,0.248303702,6.324630113,0.30110318,0.573067332,0.1856,0.138633333,1.143283582,1
0.0866,0.2168,0.0933,0.4719,0.7548,0.779978776,0.230618733,8.090032154,0.413528932,0.430350554,0.2537,0.132233333,1.077367206,1
0.094,0.2325,0.0995,0.5166,0.7847,0.774937797,0.206024744,7.886432161,0.412300683,0.427956989,0.2715,0.142,1.058510638,1
0.0698,0.1578,0.0842,0.3292,0.5547,0.736421975,0.255119357,6.587885986,0.344122658,0.533586819,0.1616,0.103933333,1.206303725,1
0.07,0.1539,0.082,0.3347,0.567,0.747303544,0.257624487,6.914634146,0.338842975,0.532813515,0.1558,0.101966667,1.171428571,1
0.0802,0.2025,0.0912,0.4296,0.6843,0.764796905,0.228656073,7.503289474,0.405274115,0.45037037,0.2336,0.124633333,1.137157107,1
0.0678,0.1619,0.0813,0.3543,0.5907,0.758035714,0.25015873,7.265682657,0.369422711,0.502161828,0.1747,0.103666667,1.199115044,1
0.0684,0.162,0.0843,0.3353,0.5632,0.7396139,0.253644964,6.680901542,0.3593455,0.52037037,0.1713,0.1049,1.23245614,1
0.0796,0.1761,0.0957,0.3793,0.6033,0.726180258,0.227966619,6.304075235,0.33535545,0.543441227,0.1769,0.117133333,1.202261307,1
0.0895,0.2009,0.1053,0.4164,0.6339,0.715097403,0.20708369,6.01994302,0.346966141,0.524141364,0.207,0.1319,1.176536313,1
0.0465,0.1045,0.0536,0.2347,0.4227,0.774931766,0.285975053,7.88619403,0.352313167,0.51291866,0.1089,0.0682,1.152688172,1
0.2207,0.2599,0.2792,0.3906,0.4987,0.282169945,0.12155628,1.786174785,0.019515544,1.074259331,0.0199,0.253266667,1.2650657,2
0.0635,0.1739,0.0873,0.4321,0.6995,0.77808846,0.23630258,8.012600229,0.395106298,0.502012651,0.197,0.108233333,1.37480315,1
0.0497,0.1376,0.0666,0.3377,0.6175,0.805291624,0.292922948,9.271771772,0.40587484,0.484011628,0.1589,0.084633333,1.340040241,1
0.0534,0.1675,0.0734,0.3984,0.666,0.801460644,0.251409245,9.073569482,0.450844521,0.438208955,0.2082,0.0981,1.374531835,1
0.0408,0.104,0.0478,0.2743,0.5741,0.846277537,0.353371051,12.01046025,0.402562374,0.459615385,0.1194,0.0642,1.171568627,1
0.0605,0.1819,0.0837,0.4435,0.7238,0.792693498,0.240126788,8.647550777,0.432283465,0.460142936,0.2196,0.1087,1.383471074,1
0.0602,0.1782,0.0846,0.4159,0.6614,0.773190349,0.227884526,7.817966903,0.422186752,0.474747475,0.2116,0.107666667,1.405315615,1
0.0558,0.159,0.0723,0.3775,0.6723,0.805801773,0.280815393,9.298755187,0.425689307,0.454716981,0.1899,0.0957,1.295698925,1
0.0362,0.1134,0.0468,0.2881,0.5661,0.847283407,0.325450714,12.09615385,0.464170433,0.412698413,0.1438,0.065466667,1.29281768,1
0.0435,0.1504,0.0604,0.3598,0.6241,0.823520818,0.26862486,10.33278146,0.486533234,0.401595745,0.1969,0.084766667,1.388505747,1
0.045,0.1416,0.0596,0.3508,0.6518,0.83244307,0.300219429,10.93624161,0.460546674,0.420903955,0.1786,0.082066667,1.324444444,1
0.0506,0.1517,0.0616,0.3776,0.6928,0.83669141,0.294469357,11.24675325,0.460057748,0.406064601,0.1912,0.087966667,1.217391304,1
0.0649,0.1608,0.078,0.3754,0.6774,0.793486894,0.286854103,8.684615385,0.384714747,0.485074627,0.1787,0.101233333,1.201848998,1
0.0562,0.1547,0.0654,0.3571,0.6542,0.818232351,0.293780283,10.0030581,0.435730858,0.422753717,0.1878,0.0921,1.163701068,1
0.0314,0.092,0.039,0.2383,0.4977,0.854667412,0.352445652,12.76153846,0.446540881,0.423913043,0.1136,0.054133333,1.242038217,1
0.036,0.1025,0.0446,0.2782,0.5521,0.850511145,0.329880766,12.37892377,0.43557423,0.435121951,0.1244,0.061033333,1.238888889,1
0.2694,0.2909,0.3226,0.4146,0.5013,0.216895254,0.094660989,1.553936764,-0.008689726,1.108972155,-0.0102,0.2943,1.197475872,2
0.2795,0.294,0.3438,0.4066,0.4801,0.165432698,0.082891621,1.396451425,-0.029142244,1.169387755,-0.0353,0.305766667,1.230053667,2
0.2529,0.2677,0.3152,0.366,0.4395,0.164701206,0.091247672,1.394352792,-0.029632986,1.17743743,-0.0327,0.2786,1.246342428,2
0.1095,0.128,0.1411,0.2005,0.2738,0.319836105,0.154543538,1.940467753,0.010659297,1.10234375,0.0054,0.1262,1.288584475,2
0.2514,0.2761,0.3005,0.4096,0.4775,0.227506427,0.07654154,1.589018303,0.000271715,1.088373778,0.0003,0.276,1.195306285,2
0.0879,0.1083,0.1132,0.1854,0.2828,0.428282828,0.208030756,2.498233216,0.037107972,1.045244691,0.0155,0.103133333,1.287827076,2
0.2508,0.2649,0.3013,0.3586,0.4227,0.167679558,0.082042749,1.402920677,-0.020611886,1.137410344,-0.0223,0.272333333,1.201355662,2
0.2462,0.2622,0.3049,0.3604,0.438,0.179162741,0.097194389,1.436536569,-0.024825662,1.162852784,-0.0267,0.2711,1.238424045,2
0.1054,0.1156,0.1299,0.1736,0.2599,0.333504361,0.199077278,2.000769823,-0.008788853,1.123702422,-0.0041,0.116966667,1.232447818,2
