OID_,FID_manual,FID_TreeSe,Class_ABC,Shape_Area
262,62,1,A,36.6594009
263,63,50,A,5.4661798
264,64,18,A,4.9297099
265,65,74,A,4.4890699
266,66,27,A,14.9924002
267,67,125,A,4.9842701
268,68,30,A,13.1900997
269,69,134,A,7.8324399
270,70,4,A,12.7242002
271,71,114,A,3.0593901
272,72,67,A,4.1851602
273,73,133,A,3.8366001
274,74,106,A,3.0715001
275,75,127,A,5.4228501
276,76,54,A,9.6620703
277,77,157,A,5.5085902
278,78,85,A,9.1293097
279,79,151,A,7.3252101
280,80,83,A,3.0970600
281,81,100,A,12.7124004
282,82,58,A,14.9228001
283,83,110,A,7.8080702
284,84,120,A,3.7991800
285,85,76,A,2.0763900
286,86,88,A,11.2186003
287,87,12,A,13.9720001
288,88,3,A,20.0459995
289,89,128,A,4.1842399
290,90,158,A,5.8339200
291,91,99,A,5.4024901
292,92,49,A,5.4173398
293,93,82,A,6.5007200
294,94,129,A,7.4325700
295,95,15,A,4.5241499
296,96,10,A,30.4449005
297,97,119,A,5.4119000
298,98,143,A,3.5295899
299,99,161,A,5.2120700
